,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,ushuaia,20,AR,1633609957,60,-54.8,-68.3,40.62,9.22
1,jamestown,90,US,1633609741,100,42.097,-79.2353,63.72,5.75
2,katsuura,84,JP,1633609958,81,35.1333,140.3,74.1,15.23
3,vaini,90,TO,1633609959,100,-21.2,-175.2,73.56,4.61
4,bluff,80,NZ,1633609959,81,-46.6,168.3333,49.8,8.19
5,ortakoy,0,TR,1633609960,30,38.7373,34.0387,64.65,2.82
6,sitka,90,US,1633609960,71,57.0531,-135.33,46.29,16.11
7,port elizabeth,0,ZA,1633609872,73,-33.918,25.5701,84.09,24.16
8,busselton,100,AU,1633609961,88,-33.65,115.3333,58.08,13.87
9,belaya gora,94,RU,1633609962,77,68.5333,146.4167,18.52,6.51
10,grindavik,75,IS,1633609963,61,63.8424,-22.4338,51.75,26.46
11,rikitea,100,PF,1633609934,78,-23.1203,-134.9692,72.93,10.45
12,pacific grove,90,US,1633609964,86,36.6177,-121.9166,55.65,1.01
13,atuona,31,PF,1633609965,79,-9.8,-139.0333,77.11,14.76
14,hobart,20,AU,1633609965,66,-42.8794,147.3294,48.25,4.0
15,vilhena,0,BR,1633609966,69,-12.7406,-60.1458,80.82,9.22
16,barrow,90,US,1633609902,86,71.2906,-156.7887,33.82,9.22
17,victoria,85,HK,1633609781,90,22.2855,114.1577,82.38,15.01
18,san patricio,0,US,1633609968,70,28.017,-97.5169,78.84,4.0
19,nejdek,20,CZ,1633609968,66,50.3224,12.7294,57.22,5.75
20,cape town,0,ZA,1633609727,32,-33.9258,18.4232,79.12,23.02
21,albany,1,US,1633609860,96,42.6001,-73.9662,54.73,0.25
22,muros,48,ES,1633609970,58,42.7762,-9.0603,80.69,5.77
23,nikolskoye,37,RU,1633609970,47,59.7035,30.7861,58.01,10.92
24,lebu,0,CL,1633609971,56,-37.6167,-73.65,53.44,7.63
25,nanortalik,44,GL,1633609971,60,60.1432,-45.2371,40.12,2.55
26,saint george,40,US,1633609862,61,37.1041,-113.5841,62.55,4.61
27,yar-sale,100,RU,1633609972,93,66.8333,70.8333,43.09,16.26
28,torbay,75,CA,1633609973,73,47.6666,-52.7314,53.58,14.97
29,new norfolk,61,AU,1633609974,57,-42.7826,147.0587,47.91,1.99
30,hermanus,90,ZA,1633609974,55,-34.4187,19.2345,77.9,4.76
31,matay,0,EG,1633609975,21,28.419,30.7792,88.93,14.74
32,fortuna,90,US,1633609975,74,40.5982,-124.1573,51.37,0.0
33,taywarah,24,AF,1633609976,20,33.35,64.4167,61.05,15.37
34,rosarito,100,MX,1633609977,79,32.3333,-117.0333,66.79,4.32
35,arraial do cabo,40,BR,1633609933,78,-22.9661,-42.0278,78.76,4.61
36,butaritari,94,KI,1633609977,67,3.0707,172.7902,82.49,16.08
37,port alfred,56,ZA,1633609978,72,-33.5906,26.891,73.24,30.27
38,qaanaaq,97,GL,1633609978,58,77.484,-69.3632,19.0,8.16
39,punta arenas,90,CL,1633609894,81,-53.15,-70.9167,39.31,3.44
40,ribeira brava,7,PT,1633609980,76,32.65,-17.0667,82.0,0.6
41,ancud,7,CL,1633609980,66,-41.8697,-73.8203,45.93,4.09
42,sabinas,0,MX,1633609694,58,27.85,-101.1167,70.43,4.16
43,cherskiy,61,RU,1633609981,99,68.75,161.3,0.64,5.1
44,thompson,75,CA,1633609982,87,55.7435,-97.8558,46.56,8.05
45,padang,91,ID,1633609982,85,-0.9492,100.3543,80.65,0.76
46,gat,0,IL,1633609984,34,31.61,34.7642,90.39,15.86
47,mataura,70,NZ,1633609984,86,-46.1927,168.8643,49.48,3.0
48,praya,20,CV,1633609985,62,14.9215,-23.5087,86.54,12.66
49,yellowknife,75,CA,1633609985,100,62.456,-114.3525,36.41,3.44
50,ribeira grande,20,PT,1633609986,68,38.5167,-28.7,73.8,8.05
51,vardo,75,NO,1633609986,75,70.3705,31.1107,41.2,17.27
52,nouadhibou,14,MR,1633609987,29,20.931,-17.0347,91.38,19.57
53,nishihara,75,JP,1633609987,97,26.1842,127.7558,80.65,10.36
54,norman wells,90,CA,1633609988,93,65.282,-126.8329,26.64,2.3
55,elk plain,90,US,1633609989,95,47.0532,-122.3976,47.66,0.0
56,chuy,9,UY,1633609990,54,-33.6971,-53.4616,55.56,9.01
57,college,90,US,1633609990,94,64.8569,-147.8028,35.58,4.61
58,pitsunda,72,GE,1633609991,59,43.1592,40.3378,66.38,6.62
59,tiksi,100,RU,1633609995,86,71.6872,128.8694,28.6,12.93
60,soyo,96,AO,1633609996,77,-6.1349,12.3689,78.85,9.19
61,rorvik,75,NO,1633609996,93,64.8621,11.2373,51.78,5.75
62,beira,75,MZ,1633609997,61,-19.8436,34.8389,80.69,17.27
63,lagoa,84,PT,1633609998,73,39.05,-27.9833,69.51,11.01
64,hithadhoo,15,MV,1633609998,74,-0.6,73.0833,83.77,10.58
65,murupara,100,NZ,1633609999,95,-38.4667,176.7,58.57,2.17
66,tasiilaq,7,GL,1633609999,53,65.6145,-37.6368,32.16,7.92
67,hilo,90,US,1633610000,80,19.7297,-155.09,73.13,6.91
68,namibe,0,AO,1633610001,68,-15.1961,12.1522,72.23,16.11
69,lasa,89,IT,1633610001,67,46.6166,10.7002,62.51,7.65
70,novyy urengoy,100,RU,1633610002,85,66.0833,76.6333,43.45,13.2
71,kununurra,100,AU,1633610003,39,-15.7667,128.7333,84.18,8.05
72,presidencia roque saenz pena,24,AR,1633610003,56,-26.7852,-60.4388,70.74,9.35
